-0.591125957	0.0029041626	0.0199184882	0.0009691875
-0.5456575934	0.0029041626	0.0199187995	0.0009691875
-0.5001885426	0.0029041626	0.0199190858	0.0009691875
-0.4547188617	0.0029041626	0.019919347	0.0009691875
-0.409248608	0.0029041626	0.0199195832	0.0009691875
-0.3637778389	0.0222652469	0.0199197943	0.0009691875
-0.3183066115	0.0416263311	0.0199199803	0.0009782069
-0.2728349831	0.031945789	0.0199201413	0.0009725796
-0.227363011	0.031945789	0.0199202771	0.0009725796
-0.1818907525	0.0125847047	0.019920388	0.0009680542
-0.1364182649	0.1093901258	0.0199204737	0.0010754913
-0.0909456054	0.3804453049	0.0199205343	0.0020266893
-0.0454728313	0.7676669894	0.0199205699	0.0060651305
0	1	0.0199205804	0.0068022411
0.0454728313	0.9322362052	0.0199205659	0.0065759298
0.0909456054	0.6418199419	0.0199205262	0.0057187695
0.1364182649	0.2449177154	0.0199204615	0.0049691898
0.1818907525	0.0513068732	0.0199203717	0.0009860311
0.227363011	0.0125847047	0.0199202568	0.0009680542
0.2728349831	0.031945789	0.0199201169	0.0009725796
0.3183066115	0.0125847047	0.0199199519	0.0009680542
0.3637778389	-0.0067763795	0.0199197618	0.0009725796
0.409248608	0.0029041626	0.0199195466	0.0009691875
0.4547188617	0.0125847047	0.0199193064	0.0009680542
0.5001885426	0.0125847047	0.0199190411	0.0009680542
0.5456575934	0.0029041626	0.0199187508	0.0009691875
0.591125957	-0.0067763795	0.0199184354	0.0009725796

